updated_at,text,deleted_at,copied_at,autoset_others,id,value,element_definition_id,position,copied_from,created_at
Wed Jan 07 15:21:43 -0600 2009,A.  The interventions tried were based on data and implemented with fidelity.  This is not a primary factor in the student's learning or behavior difficulties in school.,,,false,909152171,0,837394797,1,,Wed Dec 17 11:04:39 -0600 2008
Wed Jan 07 15:21:45 -0600 2009,B.  The fidelity of the interventions may be a factor. Our team's analysis indicates:,,,false,909152172,1,837394797,2,,Wed Dec 17 11:56:35 -0600 2008
Wed Jan 07 15:21:55 -0600 2009,"(If ""A"" applies, check the box.  If ""B"" applies, complete the rubric.) 
",,,false,909152173,1,837394797,3,,Wed Jan 07 14:48:52 -0600 2009
Sun Nov 30 17:13:21 -0600 2008,No information available at this time.,,,,909152174,0,837394798,1,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 14:57:03 -0600 2009,"The intervention selected was based on:
* the flag in SIMS, and 
* previous assessment information.  
 

Progress monitoring was not attempted.
",,,false,909152175,1,837394798,2,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:45:54 -0600 2009,"The intervention selected was based on:
* the flag in SIMS
* previous assessment information, and
* teachers' observation of the student's performance.
 
Progress monitoring was infrequently attempted.
",,,false,909152176,2,837394798,3,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:46:10 -0600 2009,"The intervention selected was based on:
* the flag in SIMS,
* previous assessment information,
* teachers' observation of the student's performance, and
* ongoing classroom assessments.

Progress monitoring was attempted at least at the beginning and end of the intervention.
",,,false,909152177,3,837394798,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:46:27 -0600 2009,"The intervention selected was based on:
* the flag in SIMS, and
* consistently administered, frequent and varied assessments.

Progress monitoring probes were frequently administered and used to determine whether the intervention was effective.
",,,false,909152178,4,837394798,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:21 -0600 2008,No information available at this time.,,,,909152179,0,837394799,1,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:46:49 -0600 2009,"Interventions were unable to be provided with the frequency, duration, or intensity planned.

The effectiveness of the intervention cannot be determined.",,,false,909152180,1,837394799,2,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:47:00 -0600 2009,"Interventions were inconsistently provided at the frequency intensity, and duration planned.

It is likely that a diferent schedule of intervention implementation would result in better student progress.",,,false,909152181,2,837394799,3,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:47:11 -0600 2009,"Interventions were usually provided at the frequency intensity and duration planned for the student. 

Implementation allows teams to draw conclusions regarding the effectiveness of the intervention.",,,false,909152182,3,837394799,4,,Mon Mar 10 11:05:54 -0500 2008
Wed Dec 17 11:31:11 -0600 2008,"Interventions were consistently provided at the frequency, intensity and duration planned for the student.
<br />

Implementation allows teams to draw conclusions regarding the effectiveness of the intervention.",,,false,909152183,4,837394799,5,,Wed Dec 17 11:30:45 -0600 2008
Sun Nov 30 17:13:21 -0600 2008,,,,,909152184,0,837394800,1,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:21 -0600 2008,No information available at this time.,,,false,909152185,0,837394801,1,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:43:09 -0600 2009,"Concerns about the student have not been shared with the student's family.
 
The school and family do not yet have a cooperative working relationship. 
",,,false,909152186,1,837394801,2,,Mon Mar 10 11:05:54 -0500 2008
Tue Jan 06 11:21:38 -0600 2009,"The student's family has been informed about school concerns.  They have had some opportunities to learn how the school proposes to address the concerns.


Opportunities for the school and family to mutually problem solve have not occurred. 
",,,false,909152187,2,837394801,3,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:43:53 -0600 2009,"The student's family and staff have had several opportunities to share and exchange ideas about strategies to support the student.
  
Mutual problem solving occurs regularly.

Opportunities for the family to participate in their child's schooling are often available.
",,,false,909152188,3,837394801,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:49:43 -0600 2009,"A variety of information
sharing approaches have been used on a consistent basis. 

Conversations between the student's family and staff consistently include mutual problem solving, information about family values, and the student's interests and experiences. 

Varying opportunities for the family to participate in their child's schooling are consistently available.
",,,false,909152189,4,837394801,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:21 -0600 2008,No information available at this time.,,,,909152190,0,837394802,1,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:50:02 -0600 2009,"Materials are not translated into the student's home language.

An interpreter is not offered to the family. 
",,,false,909152191,1,837394802,2,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:50:16 -0600 2009,"Some materials are translated into the student's home language.

An interpreter is sometimes available and offered.  
",,,false,909152192,2,837394802,3,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:50:48 -0600 2009,"Written materials are usually translated into the student's home language. 

An interpreter is usually available and offered.  
",,,false,909152193,3,837394802,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Jan 04 14:50:23 -0600 2009,"Written materials are consistently translated into the student's home language.  

An interpreter is consistently available and offered.
",,,false,909152194,4,837394802,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:21 -0600 2008,,,,,909152195,0,837394803,1,,Mon Mar 10 11:05:54 -0500 2008
