updated_at,text,kind,deleted_at,copied_at,id,question_definition_id,position,copied_from,created_at
Sun Oct 18 15:16:43 -0500 2009,no text needed,applicable,,,837394797,1068745180,1,,Sun Nov 30 17:15:45 -0600 2008
Wed Jan 07 14:56:19 -0600 2009,Interventions are based on data,scale,,,837394798,1068745180,2,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 14:56:40 -0600 2009,"Interventions are implemented with the appropriate frequency, intensity, and duration",scale,,,837394799,1068745180,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 14:45:38 -0600 2009,Comments,comment,,,837394800,1068745180,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Staff and families share information and problem solve together,scale,,,837394801,1068745181,1,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 14:58:32 -0600 2009,Translation is provided,scale,,,837394802,1068745181,2,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394803,1068745181,3,,Mon Mar 10 11:05:54 -0500 2008
Sun Oct 18 15:16:43 -0500 2009,no text needed,applicable,,,837394804,1068745182,1,,Wed Dec 17 11:23:08 -0600 2008
Sun Nov 30 17:13:20 -0600 2008,"Student's culture, language and heritage is valued",scale,,,837394805,1068745182,2,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:04:04 -0600 2009,Student has the opportunity to utilize prior knowledge and learning style preferences are accommodated,scale,,,837394806,1068745182,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:22:25 -0600 2009,Student understands the rules and expectations,scale,,,837394807,1068745182,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394808,1068745182,5,,Wed Aug 13 12:50:07 -0500 2008
Sun Oct 18 15:16:44 -0500 2009,no text required,applicable,,,837394809,1068745183,1,,Wed Dec 17 11:33:36 -0600 2008
Wed Jan 07 15:22:53 -0600 2009,Student's language skills are assessed,scale,,,837394810,1068745183,2,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Interventions are provided to explicitly teach the use and understanding of oral and written language skills,scale,,,837394811,1068745183,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:07:24 -0600 2009,Student has the opportunity to practice and regularly use new language skills,scale,,,837394812,1068745183,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394813,1068745183,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Oct 18 15:16:44 -0500 2009,no text needed,applicable,,,837394814,1068745184,1,,Wed Dec 17 11:39:58 -0600 2008
Wed Jan 07 15:08:46 -0600 2009,Attendance and mobility patterns are assessed,scale,,,837394815,1068745184,2,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:09:03 -0600 2009,Interventions are provided to improve attendance and mobility and/or reduce the impact on learning and behavior,scale,,,837394816,1068745184,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:09:14 -0600 2009,Engagement and connection to school are encouraged,scale,,,837394817,1068745184,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394818,1068745184,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Oct 18 15:16:44 -0500 2009,no text needed,applicable,,,837394819,1068745185,1,,Wed Dec 17 11:43:30 -0600 2008
Wed Jan 07 15:10:44 -0600 2009,Information about life stressors is gathered,scale,,,837394820,1068745185,2,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:11:00 -0600 2009,Interventions are provided to reduce the impact of the life stressor,scale,,,837394821,1068745185,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:11:18 -0600 2009,Student and family connect to community supports,scale,,,837394822,1068745185,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394823,1068745185,5,,Mon Mar 10 11:05:54 -0500 2008
Sun Oct 18 15:16:45 -0500 2009,no text needed,applicable,,,837394824,1068745186,1,,Wed Dec 17 11:47:08 -0600 2008
Wed Jan 07 15:12:27 -0600 2009,Information about socio-economic status and how it impacts learning and/or behavior is gathered,scale,,,837394825,1068745186,2,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:12:39 -0600 2009,Interventions are provided to reduce impact,scale,,,837394826,1068745186,3,,Mon Mar 10 11:05:54 -0500 2008
Wed Jan 07 15:12:53 -0600 2009,Student and family connect to community supports,scale,,,837394827,1068745186,4,,Mon Mar 10 11:05:54 -0500 2008
Sun Nov 30 17:13:20 -0600 2008,Comments,comment,,,837394828,1068745186,5,,Mon Mar 10 11:05:54 -0500 2008
