id,title,description,custom,intervention_cluster_id,tier_id,time_length_id,time_length_num,frequency_id,frequency_multiplier,user_id,school_id,disabled,position,created_at,updated_at,deleted_at,copied_at,copied_from
6451,Notice and Invitation to Habitual Truancy Conference ,"Parents must be noticed as soon as their student misses 5 full or part days without an excuse.  The letter invites the student and family member to a conference and explains the legal steps that can be taken if the student continues to be truant. Use the HT Conference Invitation letter for the appropriate grade in English, Spanish, or Hmong.",0,1493,781074650,858529777,1,344418694,1,,,0,1,2008-02-23 03:59:02,2008-09-12 17:18:38,,,
6454,Parent/Student letter ,"Communicate concerns about attendance to the student and family using written communication.  Follow up with phone calls, conferences, or home visit.  Use the Attendance Improvement form letter and insert current attendance information.  ",0,1493,781074650,782065165,2,344418694,1,,,0,2,2008-02-23 03:59:02,2008-09-12 17:21:05,,,
6455,Parent Teacher Conference,"Communicate attendance concerns at parent/teacher conference.  During regularly scheduled parent teacher conference, the teacher shares information about the student's attendance, and the impact that his/her attendance has on learning.",0,1493,781074649,858529777,1,344418694,1,,,0,3,2008-02-23 03:59:02,2008-06-26 04:37:07,,,
6446,Share information with family,Provide the student's family with information about the link between achievement an regular attendance as well as specific ways the child's attendance pattern affects the classroom and the child.,0,1494,781074649,782065165,2,344418694,1,,,0,1,2008-02-23 03:59:02,2008-06-26 04:37:07,,,
6447,Parent Education,"Provide family information about attendance improvement strategies.  Initial strategies focus on encouragement, information, problem-solving, and support.",0,1494,781074649,782065165,2,344418694,1,,,0,2,2008-02-23 03:59:02,2008-06-26 04:37:07,,,
6452,Refer student and family to community agencies ,Refer the student to community agencies to access additional assessment or treatment.  School staff provide the student and family with information about community providers and assist them in contacting and scheduling as necessary. Use Consent to Release PHC Form 101370-rev,0,1494,781074649,782065165,4,344418694,1,,,0,3,2008-02-23 03:59:02,2008-09-12 17:10:54,,,
6453,Collaboration with community service providers,"When the student is receiving services from community service providers, school staff may collaborate to provide advocacy, planning, support, and enhance communication.",0,1494,781074650,782065165,4,284292352,1,,,0,4,2008-02-23 03:59:02,2008-09-12 17:12:06,,,
6457,Ongoing Communication and collaboration with community agencies,The case coordinator provides a communication link between MMSD staff and the community providers who are supporting the student and family.,0,1494,781074651,782065165,2,284292352,1,,,0,5,2008-02-23 03:59:02,2008-09-12 17:13:13,,,
6448,Connect the student to after school programs and clubs,"If the root cause(s) of the student's absences are related to a lack of engagement with school, connect the student to after school clubs or programs to create a stronger connection with school.",0,1495,781074649,782065165,4,680074761,1,,,0,1,2008-02-23 03:59:02,2008-06-26 04:37:07,,,
6449,Provide family resources to support attendance,"If the root cause(s) of the student's absences are related to difficulties the family faces getting children up and off to school on time or transporting them to school, explore available supports and provide resources (alarm clocks, bus passes, etc.).",0,1495,781074649,782065165,2,344418694,1,,,0,2,2008-02-23 03:59:02,2008-06-26 04:37:07,,,
