id,title,description,user_id,district_id,active,maximum_score,minimum_score,school_id,position,created_at,updated_at,deleted_at,copied_at,copied_from,custom
3534,Problem Solving Interview A,Assesses a student's understanding of each problem type and the strategies used for a sequence of number sizes.,,1001893663,0,20,,,1,2007-07-01 05:00:00,2008-09-29 17:19:02,,,,0
3535,Problem Solving Interview B,Assesses a student's understanding of each problem type and the strategies used for a sequence of number sizes.,,1001893663,0,22,,,2,2007-07-01 05:00:00,2008-09-29 17:19:13,,,,0
3536,Comprehension - Traits of a Reader Rubric - Questioning,Assesses studentsï¿½ ability to formulate questions about their reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,3,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3537,Comprehension - Traits of a Reader Rubric - Inferring,Assesses studentsï¿½ ability to discover implicit meanings in their reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,4,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3538,Comprehension - Traits of a Reader Rubric - Visualizing,Assesses studentsï¿½ ability to create sensory images from their reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,5,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3539,Comprehension - Traits of a Reader Rubric - Determining Importance,Assesses studentsï¿½ ability to determine the important parts of their reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,6,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3540,Comprehension - Traits of a Reader Rubric - Synthesizing,Assesses studentsï¿½ ability to capture the essence of their reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,7,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3541,Comprehension - Traits of a Reader Rubric - Using Fix-Up Strategies,Assesses studentsï¿½ ability to use fix-up strategies when they are unable to understand what they reading. This scoring rubric is based on a 4-point scale from emerging (1) to advanced competence (4).,,1001893663,1,4,1,,8,2007-08-16 05:00:00,2008-08-08 18:12:18,,,,0
3542,Goal Attainment Scaling,Goal Attainment Scaling is an efficient and individualized assessment technique that can be used by multiple raters across settings. It uses a teacher defined rating scale to measure a student's performance and the degree of improvement over time.  ,,1001893663,1,3,-3,,9,2007-08-28 05:00:00,2010-03-09 19:16:55,,,,0
3543,Early Base Ten Assessment,Early Base Ten Assessment from Learning Mathematics in the Intermediate Grades--Chapter Four page 66. ,,1001893663,0,,,,10,2008-02-11 03:22:08,2008-09-29 17:18:41,,,,0
